Speed,Latitude,Longitude 
Speed,-33.72247323,151.1183653
Speed,-28.94580095,153.4675675
Speed,-34.49174959,150.8761139
Speed,-33.74011786,151.0386616
Speed,-28.81241201,153.3907865
Speed,-34.42712237,150.8697969
Speed,-29.06743825,153.3514251
Speed,-33.41374332,151.3495707
Speed,-33.90466286,151.0086742
Speed,-34.07328121,151.0055604
Speed,-29.633739,153.027441
Speed,-28.73451,153.40462
Speed,-33.81395,151.24386
Speed,-33.80995,151.24531
Speed,-33.77379,151.06815
Speed,-30.50428,153.00846
Speed,-34.0375,151.08361
Speed,-33.79406,151.20795
Speed,-33.75206,151.17078
Speed,-33.75206,151.17078
Red Light,-32.940335,151.712118
Red Light,-36.07518,146.92525
Red Light,-33.911362,151.197403
Red Light,-33.90148333,151.20085
Red Light,-33.901451,151.201546
Red Light,-33.888045,151.117876
Red Light,-33.848376,151.021343
Red Light,-33.850038,151.03496
Red Light,-33.842082,151.044495
Red Light,-33.843557,151.043127
Red Light,-33.849101,151.033268
Red Light,-33.961967,151.21485
Red Light,-33.915916,151.014023
Red Light,-33.907435,151.03327
Red Light,-33.906498,151.039902
Red Light,-33.4177,149.58507
Red Light,-33.41518,149.57299
Red Light,-33.76151667,150.9926167
Red Light,-33.76228333,150.9930833
Red Light,-33.902363,151.083603
Red Light,-33.948321,151.12775
Red Light,-33.952566,151.131741
Red Light,-33.776519,150.901258
Red Light,-33.798404,150.897611
Red Light,-33.768824,150.892578
Red Light,-33.773527,150.908426
Red Light,-33.766371,150.905782
Red Light,-33.771465,150.911757
Red Light,-33.765399,150.910773
Red Light,-33.79265,150.91914
Red Light,-33.983135,151.109302
Red Light,-33.890842,151.253824
Red Light,-34.074459,150.808577
Red Light,-33.877479,151.103949
Red Light,-33.86903333,151.1055833
Red Light,-33.86876667,151.1052
Red Light,-33.898886,150.919473
Red Light,-33.899725,150.918936
Red Light,-33.888111,150.923039
Red Light,-34.072236,150.805293
Red Light,-34.072035,150.80594
Red Light,-34.06664,150.819252
Red Light,-34.066599,150.819836
Red Light,-33.918154,151.104657
Red Light,-33.920186,151.099487
Red Light,-33.883836,150.923628
Red Light,-33.885554,150.93686
Red Light,-34.045942,151.133228
Red Light,-33.731368,151.003974
Red Light,-33.724767,150.977632
Red Light,-33.883675,151.00649
